Columna|Capacidad|Ocupado|Lote|Item|Descripcion|Pallet|Parte|Unidades por Cajas|Cajas|Saldo|Cantidad Tot. de Frascos por Pallet|Columna Anterior|Numero de Despacho|Estado|Bloqueado|Usuario|Fecha|Hora|Orden de Venta|Grupo|
   |0|4|108993|0613885100.03001|FR Pompeya 90ml|7|1|36|70|0|2520|   |3725|F|Nein|hgppch|28.05.2026|09:17:37|33982||
   |0|4|108993|0613885100.03001|FR Pompeya 90ml|8|1|36|70|0|2520|   |3725|F|Nein|hgppch|28.05.2026|09:17:37|33982||
   |0|4|108993|0613885100.03001|FR Pompeya 90ml|9|1|36|70|0|2520|   |3725|F|Nein|hgppch|28.05.2026|09:17:37|33982||
   |0|4|108993|0613885100.03001|FR Pompeya 90ml|501|1|36|28|0|1008|   |3725|N|Nein|hgpto|12.08.2026|15:42:16|33982||
420|100|54|110742|0613823100.05003|Guess Sed. Desire Men 30ml|32|1|60|89|0|5340|B28|0|N|Nein|hgpgj|17.07.2026|23:21:47|33446|PIERIP|
420|100|54|111096|0613822100.05003|Guess Sed. Desire Women 30ml|31|1|36|108|0|3888|A30|0|N|Nein|hgpgj|17.07.2026|23:21:47|34883|PIERIP|
420|100|54|111097|0613823100.05003|Guess Sed. Desire Men 30ml|320|1|60|60|0|3600|A13|0|F|Nein|hgpgj|17.07.2026|23:21:47|34456|PIERIP|
420|100|54|111097|0613823100.05003|Guess Sed. Desire Men 30ml|321|1|60|25|0|1500|A13|0|N|Nein|hgpgj|17.07.2026|23:21:47|34456|PIERIP|
420|100|54|111114|0613822100.05003|Guess Sed. Desire Women 30ml|1|1|36|110|0|3960|B34|0|F|Nein|hgpgj|17.07.2026|23:21:47|35297|PIERIP|
420|100|54|111114|0613822100.05003|Guess Sed. Desire Women 30ml|2|1|36|110|0|3960|B34|0|F|Nein|hgpgj|17.07.2026|23:21:47|35297|PIERIP|
420|100|54|111114|0613822100.05003|Guess Sed. Desire Women 30ml|3|1|36|110|0|3960|B34|0|F|Nein|hgpgj|17.07.2026|23:21:47|35297|PIERIP|
420|100|54|111114|0613822100.05003|Guess Sed. Desire Women 30ml|4|1|36|110|0|3960|A30|0|F|Nein|hgpgj|17.07.2026|23:21:47|35297|PIERIP|
420|100|54|111114|0613822100.05003|Guess Sed. Desire Women 30ml|5|1|36|110|0|3960|A30|0|F|Nein|hgpgj|17.07.2026|23:21:47|35297|PIERIP|
420|100|54|111114|0613822100.05003|Guess Sed. Desire Women 30ml|6|1|36|110|0|3960|B34|0|F|Nein|hgpgj|17.07.2026|23:21:47|35297|PIERIP|
420|100|54|111114|0613822100.05003|Guess Sed. Desire Women 30ml|7|1|36|110|0|3960|A30|0|F|Nein|hgpgj|17.07.2026|23:21:47|35297|PIERIP|
420|100|54|111114|0613822100.05003|Guess Sed. Desire Women 30ml|8|1|36|110|0|3960|A30|0|F|Nein|hgpgj|17.07.2026|23:21:47|35297|PIERIP|
420|100|54|111212|0613826100.05003|Guess Sed. Desire Women 75ml|2|1|24|90|0|2160|A09|0|F|Nein|hgpgj|17.07.2026|23:21:47|34184|PIERIP|
420|100|54|111212|0613826100.05003|Guess Sed. Desire Women 75ml|40|1|24|90|0|2160|B12|0|F|Nein|hgpgj|17.07.2026|23:21:47|34184|PIERIP|
420|100|54|111212|0613826100.05003|Guess Sed. Desire Women 75ml|41|1|24|90|0|2160|A09|0|F|Nein|hgpgj|17.07.2026|23:21:47|34184|PIERIP|
420|100|54|111212|0613826100.05003|Guess Sed. Desire Women 75ml|42|1|24|90|0|2160|A09|0|F|Nein|hgpgj|17.07.2026|23:21:47|34184|PIERIP|
420|100|54|111212|0613826100.05003|Guess Sed. Desire Women 75ml|43|1|24|90|0|2160|A19|0|F|Nein|hgpgj|17.07.2026|23:21:47|34184|PIERIP|
420|100|54|111212|0613826100.05003|Guess Sed. Desire Women 75ml|44|1|24|46|0|1104|A16|0|N|Nein|hgpgj|17.07.2026|23:21:47|34184|PIERIP|
